vd<,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,pH y FOS/TAC del biodigestor 050,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Fecha,Hora,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,,Fecha,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,Hora,,,,,,,,,ST,SV,Cenizas,pH,Conductividad,FOS,TAC,FOS/TAC,protocolo
2022-09-16 00:00:00,,,7.78,1418.9999999999975,8550,0.16596491228070145,34.2,1.7999999999999972,36,,2022-10-25 00:00:00,,7.92,1170,8750,0.1337142857142857,35,1.5,36.5,9am,Jason,,,,,,,,,,,,,,,,
2022-09-17 00:00:00,,,7.77,1751.0000000000023,8350,0.20970059880239547,33.4,2.200000000000003,35.6,,2022-10-26 00:00:00,,,-75,0,,,0.0,,,,,,,,,,,,,,,,,,,
2022-09-18 00:00:00,,,7.81,2082.999999999995,8675,0.24011527377521555,34.7,2.5999999999999943,37.3,,2022-10-27 00:00:00,,7.78,1833.9999999999977,8875,0.2066478873239434,35.5,2.299999999999997,37.8,,,,,,,,,,,,,,,,,,
2022-09-19 00:00:00,,,7.18,2996.0000000000023,7250,0.41324137931034516,29,3.700000000000003,32.7,,2022-10-28 00:00:00,,7.54,1585,9775,0.16214833759590794,39.1,2.0,41.1,,,,,,,,,,,,,,,,,,
2022-09-20 00:00:00,10:10:00,,7.45,1502.0000000000048,8575,0.17516034985422796,34.3,1.9000000000000057,36.2,,2022-10-29 00:00:00,,7.8,1667.9999999999952,9550,0.17465968586387384,38.2,2.0999999999999943,40.3,,,,,,,,,,,,,,,,,,
2022-09-21 00:00:00,,,7.47,1834.0000000000034,9225,0.19880758807588114,36.9,2.3000000000000043,39.2,,2022-10-30 00:00:00,,7.8,838.0000000000011,10000,0.08380000000000011,40,1.1000000000000014,41.1,,,,,,,,,,,,,,,,,,
2022-09-22 00:00:00,,,7.9,1170,8925,0.13109243697478992,35.7,1.5,37.2,,2022-10-31 00:00:00,,7.56,589.0000000000035,8575,0.06868804664723073,34.3,0.8000000000000043,35.1,,,,,,,,,,,,,,,,,,
2022-09-23 00:00:00,,,7.93,1086.9999999999989,8500,0.12788235294117634,34,1.3999999999999986,35.4,,2022-11-01 00:00:00,,7.75,1004.0000000000035,8825,0.11376770538243666,35.3,1.3000000000000043,36.6,,,,,,,,,,,,,,,,,,
2022-09-24 00:00:00,,,7.71,1336.0000000000023,8875,0.15053521126760588,35.5,1.7000000000000028,37.2,,2022-11-02 00:00:00,,7.8,921.0000000000024,9575,0.09618798955613601,38.3,1.2000000000000028,39.5,,,,,,,,,,,,,,,,,,
2022-09-25 00:00:00,,,7.83,1667.9999999999952,9550,0.17465968586387384,38.2,2.0999999999999943,40.3,,2022-11-03 00:00:00,,7.8,2580.999999999996,8900,0.28999999999999954,35.6,3.1999999999999957,38.8,,,,,,,,,,,,,,,,,,
2022-09-26 00:00:00,,,7.76,1335.9999999999966,9525,0.14026246719160068,38.1,1.6999999999999957,39.8,,2022-11-04 00:00:00,,7.73,1170,9150,0.12786885245901639,36.6,1.5,38.1,Jason,,,,,,,,,,,,,,,,,
2022-09-27 00:00:00,,,7.76,1170,7000,0.16714285714285715,28,1.5,29.5,,2022-11-05 00:00:00,,7.83,921.0000000000024,8825,0.10436260623229489,35.3,1.2000000000000028,36.5,,,,,,,,,,,,,,,,,,
2022-09-28 00:00:00,,,,1170,7000,0.16714285714285715,28,1.5,29.5,,2022-11-06 00:00:00,,7.56,1004.0000000000035,8975,0.11186629526462435,35.9,1.3000000000000043,37.2,,,,,,,,,,,,,,,,,,
2022-09-29 00:00:00,,,,1170,7000,0.16714285714285715,28,1.5,29.5,,2022-11-07 00:00:00,,7.55,1585,11000,0.1440909090909091,44,2.0,46,,,,,,,,,,,,,,,,,,
2022-09-30 00:00:00,,Jason,7.84,1585,9500,0.1668421052631579,38,2.0,40,,2022-11-08 00:00:00,,,-75,0,,,0.0,,,,,,,,,,,,,,,,,,,
